VOB,Task Name,Job Name,Job Element,Job Value
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Args,
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Created,2006-09-22T00:13:01+05:30 by ONEMISYS\clearcase_albd@AZ-CCVOB2
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.DeleteWhenCompleted,FALSE
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Description,Scrub the ClearCase Logs.<CR>
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Id,7
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.LastCompletionInfo.Ended,2008-11-09T13:00:02+05:30
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.LastCompletionInfo.ExitStatus,0x0
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.LastCompletionInfo.Messages,Error: Could not unlink 20060921.log: Permission denied<CR>Error: Could not unlink 20061027.log: Permission denied<CR>Error: Could not unlink 20061106.log: Permission denied<CR>Error: Could not unlink 20061127.log: Permission denied<CR>Error: Could not unlink 20061128.log: Permission denied<CR>Error: Could not unlink 20061129.log: Permission denied<CR>Error: Could not unlink 20061130.log: Permission denied<CR>Error: Could not unlink 20061201.log: Permission denied<CR>Error: Could not unlink 20061204.log: Permission denied<CR>Error: <CR>
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.LastCompletionInfo.ProcessId,4440
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.LastCompletionInfo.Started,2008-11-09T13:00:00+05:30
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.LastModified,2006-09-22T00:13:01+05:30 by ONEMISYS\clearcase_albd@AZ-CCVOB2
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.NextRunTime,2008-11-16T13:00:00+05:30
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Predefined,TRUE
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Schedule.FirstStartTime,0:30:00
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Schedule.StartDate,9/21/2006
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Schedule.Weekly.Days,Sun
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Schedule.Weekly.Frequency,1
az-ccvob2,Log Scrubber,Weekly Log Scrubbing,Job.Task,7
az-ccvob2,Registry Backup,Daily Registry Backup,# Job.Schedule.Sequential.FollowsJob,Daily VOB Snapshots
az-ccvob2,Registry Backup,Daily Registry Backup,Job.Args,
az-ccvob2,Registry Backup,Daily Registry Backup,Job.Created,2008-01-10T08:56:02+05:30 by SUNQUESTINFO\VOB_Admin@AZ-CCVOB2
az-ccvob2,Registry Backup,Daily Registry Backup,Job.DeleteWhenCompleted,FALSE
az-ccvob2,Registry Backup,Daily Registry Backup,Job.Id,25
az-ccvob2,Registry Backup,Daily Registry Backup,Job.LastCompletionInfo.Ended,2008-11-09T17:06:10+05:30
az-ccvob2,Registry Backup,Daily Registry Backup,Job.LastCompletionInfo.ExitStatus,0x0
az-ccvob2,Registry Backup,Daily Registry Backup,Job.LastCompletionInfo.ProcessId,14692
az-ccvob2,Registry Backup,Daily Registry Backup,Job.LastCompletionInfo.Started,2008-11-09T17:06:10+05:30
az-ccvob2,Registry Backup,Daily Registry Backup,Job.LastModified,2008-01-10T09:00:31+05:30 by SUNQUESTINFO\VOB_Admin@AZ-CCVOB2
az-ccvob2,Registry Backup,Daily Registry Backup,Job.Schedule.Sequential.FollowsJob,26
az-ccvob2,Registry Backup,Daily Registry Backup,Job.Task,6
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,# Job.Schedule.Sequential.FollowsJob,Weekly Log Scrubbing
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.Args,
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.Created,2006-09-22T00:13:01+05:30 by ONEMISYS\clearcase_albd@AZ-CCVOB2
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.DeleteWhenCompleted,FALSE
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.Description,Scrub the VOB database of all local VOBs.<CR>
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.Id,8
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.LastCompletionInfo.Ended,2008-11-09T14:22:06+05:30
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.LastCompletionInfo.ExitStatus,0x0
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.LastCompletionInfo.ProcessId,14256
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.LastCompletionInfo.Started,2008-11-09T13:00:02+05:30
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.LastModified,2006-09-22T00:13:01+05:30 by ONEMISYS\clearcase_albd@AZ-CCVOB2
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.Predefined,TRUE
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.Schedule.Sequential.FollowsJob,7
az-ccvob2,VOB DB Scrubber,Weekly VOB Database Scrubbing,Job.Task,4
az-ccvob2,VOB DO Space,Weekly VOB DO Space,# Job.Schedule.Sequential.FollowsJob,Weekly Local Tasks
az-ccvob2,VOB DO Space,Weekly VOB DO Space,Job.Args,
